sic,office,industry
100,Life Sciences,AGRICULTURAL PRODUCTION-CROPS
200,Life Sciences,AGRICULTURAL PROD-LIVESTOCK & ANIMAL SPECIALTIES
700,Life Sciences,AGRICULTURAL SERVICES
800,Life Sciences,FORESTRY
900,Life Sciences,"FISHING, HUNTING AND TRAPPING"
1000,Energy & Transportation,METAL MINING
1040,Energy & Transportation,GOLD AND SILVER ORES
1090,Energy & Transportation,MISCELLANEOUS METAL ORES
1220,Energy & Transportation,BITUMINOUS COAL & LIGNITE MINING
1221,Energy & Transportation,BITUMINOUS COAL & LIGNITE SURFACE MINING
1311,Energy & Transportation,CRUDE PETROLEUM & NATURAL GAS
1381,Energy & Transportation,DRILLING OIL & GAS WELLS
1382,Energy & Transportation,OIL & GAS FIELD EXPLORATION SERVICES
1389,Energy & Transportation,"OIL & GAS FIELD SERVICES, NEC"
1400,Energy & Transportation,MINING & QUARRYING OF NONMETALLIC MINERALS (NO FUELS)
1520,Real Estate & Construction,GENERAL BLDG CONTRACTORS - RESIDENTIAL BLDGS
1531,Real Estate & Construction,OPERATIVE BUILDERS
1540,Real Estate & Construction,GENERAL BLDG CONTRACTORS - NONRESIDENTIAL BLDGS
1600,Real Estate & Construction,HEAVY CONSTRUCTION OTHER THAN BLDG CONST - CONTRACTORS
1623,Real Estate & Construction,"WATER, SEWER, PIPELINE, COMM & POWER LINE CONSTRUCTION"
1700,Real Estate & Construction,CONSTRUCTION - SPECIAL TRADE CONTRACTORS
1731,Real Estate & Construction,ELECTRICAL WORK
2000,Manufacturing,FOOD AND KINDRED PRODUCTS
2011,Manufacturing,MEAT PACKING PLANTS
2013,Manufacturing,SAUSAGES & OTHER PREPARED MEAT PRODUCTS
2015,Manufacturing,POULTRY SLAUGHTERING AND PROCESSING
2020,Manufacturing,DAIRY PRODUCTS
2024,Manufacturing,ICE CREAM & FROZEN DESSERTS
2030,Manufacturing,"CANNED, FROZEN & PRESERVD FRUIT, VEG & FOOD SPECIALTIES"
2033,Manufacturing,"CANNED, FRUITS, VEG, PRESERVES, JAMS & JELLIES"
2040,Manufacturing,GRAIN MILL PRODUCTS
2050,Manufacturing,BAKERY PRODUCTS
2052,Manufacturing,COOKIES & CRACKERS
2060,Manufacturing,SUGAR & CONFECTIONERY PRODUCTS
2070,Manufacturing,FATS & OILS
2080,Manufacturing,BEVERAGES
2082,Manufacturing,MALT BEVERAGES
2086,Manufacturing,BOTTLED & CANNED SOFT DRINKS & CARBONATED WATERS
2090,Manufacturing,MISCELLANEOUS FOOD PREPARATIONS & KINDRED PRODUCTS
2092,Manufacturing,PREPARED FRESH OR FROZEN FISH & SEAFOODS
2100,Manufacturing,TOBACCO PRODUCTS
2111,Manufacturing,CIGARETTES
2200,Manufacturing,TEXTILE MILL PRODUCTS
2211,Manufacturing,"BROADWOVEN FABRIC MILLS, COTTON"
2221,Manufacturing,"BROADWOVEN FABRIC MILLS, MAN MADE FIBER & SILK"
2250,Manufacturing,KNITTING MILLS
2253,Manufacturing,KNIT OUTERWEAR MILLS
2273,Manufacturing,CARPETS & RUGS
2300,Manufacturing,APPAREL & OTHER FINISHD PRODS OF FABRICS & SIMILAR MATL
2320,Manufacturing,"MEN'S & BOYS' FURNISHGS, WORK CLOTHG, & ALLIED GARMENTS"
2330,Manufacturing,"WOMEN'S, MISSES', AND JUNIORS OUTERWEAR"
2340,Manufacturing,"WOMEN'S, MISSES', CHILDREN'S & INFANTS' UNDERGARMENTS"
2390,Manufacturing,MISCELLANEOUS FABRICATED TEXTILE PRODUCTS
2400,Manufacturing,LUMBER & WOOD PRODUCTS (NO FURNITURE)
2421,Manufacturing,"SAWMILLS & PLANTING MILLS, GENERAL"
2430,Manufacturing,"MILLWOOD, VENEER, PLYWOOD, & STRUCTURAL WOOD MEMBERS"
2451,Manufacturing,MOBILE HOMES
2452,Manufacturing,PREFABRICATED WOOD BLDGS & COMPONENTS
2510,Manufacturing,HOUSEHOLD FURNITURE
2511,Manufacturing,"WOOD HOUSEHOLD FURNITURE, (NO UPHOLSTERED)"
2520,Manufacturing,OFFICE FURNITURE
2522,Manufacturing,OFFICE FURNITURE (NO WOOD)
2531,Manufacturing,PUBLIC BLDG & RELATED FURNITURE
2540,Manufacturing,"PARTITIONS, SHELVG, LOCKERS, & OFFICE & STORE FIXTURES"
2590,Manufacturing,MISCELLANEOUS FURNITURE & FIXTURES
2600,Manufacturing,PAPERS & ALLIED PRODUCTS
2611,Manufacturing,PULP MILLS
2621,Manufacturing,PAPER MILLS
2631,Manufacturing,PAPERBOARD MILLS
2650,Manufacturing,PAPERBOARD CONTAINERS & BOXES
2670,Manufacturing,CONVERTED PAPER & PAPERBOARD PRODS (NO CONTANERS/BOXES)
2673,Manufacturing,"PLASTICS, FOIL & COATED PAPER BAGS"
2711,Manufacturing,NEWSPAPERS: PUBLISHING OR PUBLISHING & PRINTING
2721,Manufacturing,PERIODICALS: PUBLISHING OR PUBLISHING & PRINTING
2731,Manufacturing,BOOKS: PUBLISHING OR PUBLISHING & PRINTING
2732,Manufacturing,BOOK PRINTING
2741,Manufacturing,MISCELLANEOUS PUBLISHING
2750,Manufacturing,COMMERCIAL PRINTING
2761,Manufacturing,MANIFOLD BUSINESS FORMS
2771,Manufacturing,GREETING CARDS
2780,Manufacturing,"BLANKBOOKS, LOOSELEAF BINDERS & BOOKBINDG & RELATD WORK"
2790,Manufacturing,SERVICE INDUSTRIES FOR THE PRINTING TRADE
2800,Life Sciences,CHEMICALS & ALLIED PRODUCTS
2810,Life Sciences,INDUSTRIAL INORGANIC CHEMICALS
2820,Life Sciences,"PLASTIC MATERIAL, SYNTH RESIN/RUBBER, CELLULOS (NO GLASS)"
2821,Life Sciences,"PLASTIC MATERIALS, SYNTH RESINS & NONVULCAN ELASTOMERS"
2833,Life Sciences,MEDICINAL CHEMICALS & BOTANICAL PRODUCTS
2834,Life Sciences,PHARMACEUTICAL PREPARATIONS
2835,Life Sciences,IN VITRO & IN VIVO DIAGNOSTIC SUBSTANCES
2836,Life Sciences,"BIOLOGICAL PRODUCTS, (NO DISGNOSTIC SUBSTANCES)"
2840,Life Sciences,"SOAP, DETERGENTS, CLEANG PREPARATIONS, PERFUMES, COSMETICS"
2842,Life Sciences,"SPECIALTY CLEANING, POLISHING AND SANITATION PREPARATIONS"
2844,Life Sciences,"PERFUMES, COSMETICS & OTHER TOILET PREPARATIONS"
2851,Life Sciences,"PAINTS, VARNISHES, LACQUERS, ENAMELS & ALLIED PRODS"
2860,Life Sciences,INDUSTRIAL ORGANIC CHEMICALS
2870,Life Sciences,AGRICULTURAL CHEMICALS
2890,Life Sciences,MISCELLANEOUS CHEMICAL PRODUCTS
2891,Life Sciences,ADHESIVES & SEALANTS
2911,Energy & Transportation,PETROLEUM REFINING
2950,Energy & Transportation,ASPHALT PAVING & ROOFING MATERIALS
2990,Energy & Transportation,MISCELLANEOUS PRODUCTS OF PETROLEUM & COAL
3011,Manufacturing,TIRES & INNER TUBES
3021,Manufacturing,RUBBER & PLASTICS FOOTWEAR
3050,Manufacturing,"GASKETS, PACKG & SEALG DEVICES & RUBBER & PLASTICS HOSE"
3060,Manufacturing,"FABRICATED RUBBER PRODUCTS, NEC"
3080,Manufacturing,MISCELLANEOUS PLASTICS PRODUCTS
3081,Manufacturing,UNSUPPORTED PLASTICS FILM & SHEET
3086,Manufacturing,PLASTICS FOAM PRODUCTS
3089,Manufacturing,"PLASTICS PRODUCTS, NEC"
